Subject,response,corrected_response,entry_number,response_times,domain,
0GMT2ITP,tiger,tiger,3,876.4,animals,
0GMT2ITP,lion,lion,4,872.8,animals,
0GMT2ITP,fish,fish,5,1210.8,animals,
0GMT2ITP,bird,bird,6,2124.6,animals,
0GMT2ITP,rabbit,rabbit,7,1372.8,animals,
0GMT2ITP,horse,horse,8,786.1,animals,
0GMT2ITP,cow,cow,9,1003.4,animals,
0GMT2ITP,sheep,sheep,10,1098.3,animals,
0GMT2ITP,chicken,chicken,11,956.7,animals,
0GMT2ITP,turkey,turkey,12,922,animals,
0GMT2ITP,elephant,elephant,13,6784,animals,
0GMT2ITP,rhino,rhino,14,968.9,animals,
0GMT2ITP,giraffe,giraffe,15,1494.9,animals,
0GMT2ITP,monkey,monkey,16,1318.6,animals,
0GMT2ITP,chimp,chimp,17,795.6,animals,
0GMT2ITP,ape,ape,18,496.9,animals,
0GMT2ITP,gecko,gecko,19,5746.1,animals,
0GMT2ITP,lizard,lizard,20,963.9,animals,
0GMT2ITP,frog,frog,21,1131.2,animals,
0GMT2ITP,toad,toad,22,692,animals,
0GMT2ITP,beaver,beaver,23,4141,animals,
0GMT2ITP,groundhog,groundhog,24,2118.9,animals,
0GMT2ITP,snowshoe hare,snowshoe hare,25,2567,animals,
0GMT2ITP,walrus,walrus,26,1448.8,animals,
0GMT2ITP,polar bear,polar bear,27,1549.6,animals,
0GMT2ITP,black bear,black bear,28,1294.4,animals,
0GMT2ITP,grizzly bear,grizzly bear,29,3869,animals,
0GMT2ITP,deer,deer,30,1415.3,animals,
0GMT2ITP,moose,moose,31,1469.3,animals,
0GMT2ITP,loon,loon,32,3879.7,animals,
0GMT2ITP,bald eagle,bald eagle,33,1152.4,animals,
0GMT2ITP,edgar allen poe,edgar allan poe,1,2788.8,authors,
0GMT2ITP,susan collins,suzanne collins,2,6423.4,authors,
0GMT2ITP,f scott fitzgerald,f scott fitzgerald,3,12411.3,authors,
0GMT2ITP,jk rowliing,jk rowling,4,27255.9,authors,
0GMT2ITP,lemony snicket,lemony snicket,5,7074.8,authors,
0GMT2ITP,biology,biology,1,1586.8,college_majors,
0GMT2ITP,pschology,psychology,2,2179,college_majors,
0GMT2ITP,english,english,3,2366.8,college_majors,
0GMT2ITP,environmental studies,environmental studies,4,2064,college_majors,
0GMT2ITP,political science,political science,5,3008.8,college_majors,
0GMT2ITP,chemistry,chemistry,6,4823.3,college_majors,
0GMT2ITP,anthropology,anthropology,7,2201.1,college_majors,
0GMT2ITP,fashion design,fashion design,8,2733,college_majors,
0GMT2ITP,literature,literature,9,5740.8,college_majors,
0GMT2ITP,journalism,journalism,10,1428.8,college_majors,
0GMT2ITP,religious studies,religious studies,11,5418.3,college_majors,
0GMT2ITP,gender studies,gender studies,12,3416.8,college_majors,
0GMT2ITP,environmental science,environmental science,13,6937.4,college_majors,
0GMT2ITP,geology,geology,14,2605.6,college_majors,
0GMT2ITP,math,math,15,3114.7,college_majors,
0GMT2ITP,physics,physics,16,4217.7,college_majors,
0GMT2ITP,taylor swift,taylor swift,1,2477.7,musicians,
0GMT2ITP,rihanna,rihanna,2,1668.8,musicians,
0GMT2ITP,conan gray,conan gray,3,2325,musicians,
0GMT2ITP,harry styles,harry styles,4,1709.9,musicians,
0GMT2ITP,selena gomez,selena gomez,5,2292.1,musicians,
0GMT2ITP,gracie abrams,gracie abrams,6,4522.5,musicians,
0GMT2ITP,sabrina carpenter,sabrina carpenter,7,2843.4,musicians,
0GMT2ITP,olivia rodrigo,olivia rodrigo,8,2268.8,musicians,
0GMT2ITP,sara mclaughlin,sarah mclachlan,9,15566.3,musicians,
0GMT2ITP,lorde,lorde,10,13536.5,musicians,
0GMT2ITP,esha tewari,esha tewari,11,3987.4,musicians,
0GMT2ITP,gayle,gayle,12,4374,musicians,
0GMT2ITP,swimmer,swimmer,1,1727.7,sportspersons,
0GMT2ITP,baseball player,baseball player,2,1917.8,sportspersons,
0GMT2ITP,football player,football player,3,2815.8,sportspersons,
0GMT2ITP,michael phelps,michael phelps,4,2629,sportspersons,
0GMT2ITP,tennis player,tennis player,5,2220.9,sportspersons,
0GMT2ITP,venus william,venus williams,6,2884.1,sportspersons,
0GMT2ITP,serena williams,serena williams,7,2944.8,sportspersons,
0GMT2ITP,travis kelce,travis kelce,8,6150.1,sportspersons,
0GMT2ITP,soccer players,soccer players,9,4263.5,sportspersons,
0GMT2ITP,gymnasts,gymnasts,10,5274.3,sportspersons,
0GMT2ITP,simone biles,simone biles,11,1924.7,sportspersons,
0GMT2ITP,ian crocker,ian crocker,12,7441.5,sportspersons,
0GMT2ITP,tom brady,tom brady,13,12435.2,sportspersons,
0GMT2ITP,grock,grok,14,3594.4,sportspersons,
0L28O7LJ,squirrel,squirrel,1,2567.5,animals,
0L28O7LJ,bear,bear,2,649.7,animals,
0L28O7LJ,dog,dog,3,790.1,animals,
0L28O7LJ,cat,cat,4,693.6,animals,
0L28O7LJ,parrot,parrot,5,3616.4,animals,
0L28O7LJ,dolphin,dolphin,6,2032.8,animals,
0L28O7LJ,whale,whale,7,1950.5,animals,
0L28O7LJ,possum,possum,8,2350.1,animals,
0L28O7LJ,raccoon,raccoon,9,2307.3,animals,
0L28O7LJ,bunny,bunny,10,2559.2,animals,
0L28O7LJ,foc,fox,11,3066.1,animals,
0L28O7LJ,fox,fox,12,1176.8,animals,
0L28O7LJ,coyote,coyote,13,2107.1,animals,
0L28O7LJ,polar bear,polar bear,14,2049.7,animals,
0L28O7LJ,brown bear,brown bear,15,1883.7,animals,
0L28O7LJ,koala,koala,16,7933.5,animals,
0L28O7LJ,peacock,peacock,17,1532.5,animals,
0L28O7LJ,flamingo,flamingo,18,2313.2,animals,
0L28O7LJ,zebra,zebra,19,3171.1,animals,
0L28O7LJ,sting ray,sting ray,20,4616.6,animals,
0L28O7LJ,seahorse,seahorse,21,4717.2,animals,
0L28O7LJ,starfish,starfish,22,1749.8,animals,
0L28O7LJ,crocodile,crocodile,23,2399.9,animals,
0L28O7LJ,alligator,alligator,24,1616.7,animals,
0L28O7LJ,jane austen,jane austen,1,3966.3,authors,
0L28O7LJ,charles dickinson,charles dickens,2,4542.2,authors,
0L28O7LJ,victor hugo,victor hugo,3,4690.7,authors,
0L28O7LJ,charlotte bronte,charlotte bronte,4,5706.9,authors,
0L28O7LJ,stephanie meyer,stephanie meyer,5,6560.4,authors,
0L28O7LJ,ve schwab,v.e. schwab,6,5116.8,authors,
0L28O7LJ,dostoyevsky,dostoyevsky,7,12599.7,authors,
0L28O7LJ,kafka,kafka,8,13427.2,authors,
0L28O7LJ,communications,communications,1,2820.1,college_majors,
0L28O7LJ,psychology,psychology,2,1537.1,college_majors,
0L28O7LJ,biology,biology,3,2087.5,college_majors,
0L28O7LJ,chemistry,chemistry,4,2333.4,college_majors,
0L28O7LJ,economics,economics,5,983.2,college_majors,
0L28O7LJ,sociology,sociology,6,3216.8,college_majors,
0L28O7LJ,religion,religion,7,1850.4,college_majors,
0L28O7LJ,physics,physics,8,2316.4,college_majors,
0L28O7LJ,math,math,9,583.6,college_majors,
0L28O7LJ,computer science,computer science,10,2883.5,college_majors,
0L28O7LJ,gender studies,gender studies,11,8170.7,college_majors,
0L28O7LJ,asian studies,asian studies,12,2812.3,college_majors,
0L28O7LJ,biochemistry,biochemistry,13,8817.2,college_majors,
0L28O7LJ,romance languages,romance languages,14,5882.8,college_majors,
0L28O7LJ,film,film,15,2900.3,college_majors,
0L28O7LJ,government,government,16,1049.6,college_majors,
0L28O7LJ,political science,political science,17,4900.8,college_majors,
0L28O7LJ,lana del rey,lana del rey,1,4539,musicians,
0L28O7LJ,frank sinatra,frank sinatra,2,2940,musicians,
0L28O7LJ,jeff buckley,jeff buckley,3,15722.7,musicians,
0L28O7LJ,jhene aiko,jhene aiko,4,3733.8,musicians,
0L28O7LJ,the weeknd,the weeknd,5,10660.1,musicians,
0L28O7LJ,taylor swift,taylor swift,6,3238.5,musicians,
0L28O7LJ,ariana grande,ariana grande,7,7453.6,musicians,
0L28O7LJ,miley cyrus,miley cyrus,8,6108.1,musicians,
0L28O7LJ,demi lovato,demi lovato,9,2244.1,musicians,
0L28O7LJ,cher lloyd,cher lloyd,10,2522.3,musicians,
0L28O7LJ,eileen gu,eileen gu,1,2533.8,sportspersons,
0L28O7LJ,chloe kim,chloe kim,2,2833.7,sportspersons,
0L28O7LJ,stephen curry,stephen curry,3,5366.4,sportspersons,
0L28O7LJ,jimmy butler,jimmy butler,4,5383.6,sportspersons,
0L28O7LJ,tatum,jayson tatum,5,27000.4,sportspersons,
0L28O7LJ,alysa lui,alysa liu,6,12949.9,sportspersons,
0MGC7F4K,zebra,zebra,1,1370.6,animals,
0MGC7F4K,giraffe,giraffe,2,2349.9,animals,
0MGC7F4K,worm,worm,3,2898.9,animals,
0MGC7F4K,cow,cow,4,2115.7,animals,
0MGC7F4K,pig,pig,5,1680.7,animals,
0MGC7F4K,chicken,chicken,6,4468.4,animals,
0MGC7F4K,dog,dog,7,1636.8,animals,
0MGC7F4K,cat,cat,8,867.1,animals,
0MGC7F4K,hamster,hamster,9,2583.7,animals,
0MGC7F4K,guniea pig,guinea pig,10,3633.9,animals,
0MGC7F4K,squirrel,squirrel,11,7448.7,animals,
0MGC7F4K,lion,lion,12,2916.9,animals,
0MGC7F4K,deer,deer,13,3033.6,animals,
0MGC7F4K,elk,elk,14,1023.1,animals,
0MGC7F4K,moose,moose,15,925.7,animals,
0MGC7F4K,bird,bird,16,1575.4,animals,
0MGC7F4K,eagle,eagle,17,3242.4,animals,
0MGC7F4K,vulture,vulture,18,4266.3,animals,
0MGC7F4K,polar bear,polar bear,19,3532.6,animals,
0MGC7F4K,penguin,penguin,20,1430.7,animals,
0MGC7F4K,fish,fish,21,2543.9,animals,
0MGC7F4K,shark,shark,22,4074.3,animals,
0MGC7F4K,JK Rowling,jk rowling,1,2960.1,authors,
0MGC7F4K,James patterson,james patterson,2,18313.4,authors,
0MGC7F4K,Ernest Hemingway,ernest hemingway,3,31093.6,authors,
0MGC7F4K,Poe,edgar allan poe,4,3650.1,authors,
0MGC7F4K,Shakespare,william shakespeare,5,3938.6,authors,
0MGC7F4K,Biology,biology,1,2150.9,college_majors,
0MGC7F4K,Neuroscience,neuroscience,2,1792.3,college_majors,
0MGC7F4K,Economics,economics,3,2135.2,college_majors,
0MGC7F4K,Government,government,4,2494.7,college_majors,
0MGC7F4K,Psychology,psychology,5,4094.3,college_majors,
0MGC7F4K,Sociology,sociology,6,1883.5,college_majors,
0MGC7F4K,Chemistry,chemistry,7,1465.5,college_majors,
0MGC7F4K,Physics,physics,8,1157.3,college_majors,
0MGC7F4K,Math,math,9,851.2,college_majors,
0MGC7F4K,Environmental Studies,environmental studies,10,9118.3,college_majors,
0MGC7F4K,Engineering,engineering,11,4985.4,college_majors,
0MGC7F4K,Art,art,12,2939.1,college_majors,
0MGC7F4K,Music,music,13,872,college_majors,
0MGC7F4K,Philosophy,philosophy,14,6220.4,college_majors,
0MGC7F4K,Film Production,film production,15,6457.5,college_majors,
0MGC7F4K,Taylor Swift,taylor swift,1,7099.8,musicians,
0MGC7F4K,Miles Davis,miles davis,2,5572.4,musicians,
0MGC7F4K,Me,me,3,8301.7,musicians,
0MGC7F4K,Mozart,wolfgang amadeus mozart,4,5242,musicians,
0MGC7F4K,Beethoven,ludwig van beethoven,5,3667.6,musicians,
0MGC7F4K,Vizutti,vince di martino,6,20249.9,musicians,
0MGC7F4K,Serena Williams,serena williams,1,3267.6,sportspersons,
0MGC7F4K,Travis Kelce,travis kelce,2,10043.8,sportspersons,
0PRAW6DO,Flamingos,flamingos,1,3298.5,animals,
0PRAW6DO,Lion,lion,2,2415.3,animals,
0PRAW6DO,Panda,panda,3,2545.5,animals,
0PRAW6DO,Octopus,octopus,4,5016.8,animals,
0PRAW6DO,Bear,bear,5,2700.7,animals,
0PRAW6DO,Cat,cat,6,2665.7,animals,
0PRAW6DO,Dog,dog,7,1232.6,animals,
0PRAW6DO,Pig,pig,8,4286.3,animals,
0PRAW6DO,Cow,cow,9,1960.3,animals,
0PRAW6DO,Chicken,chicken,10,2108.1,animals,
0PRAW6DO,Turkey,turkey,11,2363,animals,
0PRAW6DO,Lizard,lizard,12,5297.5,animals,
0PRAW6DO,Ant,ant,13,4848.1,animals,
0PRAW6DO,Snake,snake,14,8942.2,animals,
0PRAW6DO,Butterfly,butterfly,15,3594.9,animals,
0PRAW6DO,Whale,whale,16,5566.9,animals,
0PRAW6DO,C. S. Lewis,c s lewis,1,7118.3,authors,
0PRAW6DO,Jane Austen,jane austen,2,4987.9,authors,
0PRAW6DO,Bronte sisters,bronte sisters,3,5487.9,authors,
0PRAW6DO,Gabrielle Zevin,gabrielle zevin,4,27608,authors,
0PRAW6DO,John Green,john green,5,3304.5,authors,
0PRAW6DO,Hanya Yanagihara,hanya yanagihara,6,7099.6,authors,
0PRAW6DO,chemistry,chemistry,1,3314.9,college_majors,
0PRAW6DO,math,math,2,1550,college_majors,
0PRAW6DO,biology,biology,3,1941.1,college_majors,
0PRAW6DO,neuroscience,neuroscience,4,2539.5,college_majors,
0PRAW6DO,anthropology,anthropology,5,3743.9,college_majors,
0PRAW6DO,psychology,psychology,6,2988.6,college_majors,
0PRAW6DO,political science,political science,7,7057.7,college_majors,
0PRAW6DO,art,art,8,4461.6,college_majors,
0PRAW6DO,dance,dance,9,2547.2,college_majors,
0PRAW6DO,theater,theater,10,1620,college_majors,
0PRAW6DO,english,english,11,8024.4,college_majors,
0PRAW6DO,spanish,spanish,12,5280.1,college_majors,
0PRAW6DO,Olivia Dean,olivia dean,1,3077.2,musicians,
0PRAW6DO,Noah Kahan,noah kahan,2,2504.7,musicians,
0PRAW6DO,Olivia Rodrigo,olivia rodrigo,3,8299.1,musicians,
0PRAW6DO,Ariana Grande,ariana grande,4,3627.8,musicians,
0PRAW6DO,Sabrina Carpenter,sabrina carpenter,5,4287.6,musicians,
0PRAW6DO,Lizzy McAlpine,lizzy mcalpine,6,6065.8,musicians,
0PRAW6DO,Miley Cirus,miley cyrus,7,6230.5,musicians,
0PRAW6DO,Jon Bellion,jon bellion,8,24331.7,musicians,
0PRAW6DO,Messi,leo messi,1,14789.1,sportspersons,
0PRAW6DO,Ronaldo,cristiano ronaldo,2,5475.5,sportspersons,
0QPSDFM3,giraffe,giraffe,1,3041,animals,
0QPSDFM3,lion,lion,2,969.4,animals,
0QPSDFM3,bird,bird,3,1797.3,animals,
0QPSDFM3,dolphin,dolphin,4,1922.7,animals,
0QPSDFM3,whale,whale,5,960.5,animals,
0QPSDFM3,orca,orca,6,891.6,animals,
0QPSDFM3,fish,fish,7,2056.6,animals,
0QPSDFM3,goldfish,goldfish,8,2166.9,animals,
0QPSDFM3,tiger,tiger,9,3076.5,animals,
0QPSDFM3,leopard,leopard,10,3075.2,animals,
0QPSDFM3,zebra,zebra,11,2989.9,animals,
0QPSDFM3,horse,horse,12,5925.8,animals,
0QPSDFM3,rat,rat,13,3010.1,animals,
0QPSDFM3,mouse,mouse,14,3881.9,animals,
0QPSDFM3,stinkbug,stink bug,15,3191.7,animals,
0QPSDFM3,deer,deer,16,3724.9,animals,
0QPSDFM3,bear,bear,17,2073.1,animals,
0QPSDFM3,polar bear,polar bear,18,2072.6,animals,
0QPSDFM3,elephant,elephant,19,3795.7,animals,
0QPSDFM3,cow,cow,20,5272.4,animals,
0QPSDFM3,pig,pig,21,941.4,animals,
0QPSDFM3,sheep,sheep,22,1280.5,animals,
0QPSDFM3,goat,goat,23,1508,animals,
0QPSDFM3,jk rowling,jk rowling,1,2339.4,authors,
0QPSDFM3,rick riordan,rick riordan,2,3423.8,authors,
0QPSDFM3,nate hawthorne,nathaniel hawthorne,3,7317.7,authors,
0QPSDFM3,j d salinger,j d salinger,4,6575,authors,
0QPSDFM3,ernest hemingway,ernest hemingway,5,9957.6,authors,
0QPSDFM3,emile zola,emile zola,6,4674.7,authors,
0QPSDFM3,charlotte bronte,charlotte bronte,7,10901.3,authors,
0QPSDFM3,sinclair lewis,sinclair lewis,8,1876.8,authors,
0QPSDFM3,gov,government,1,1962,college_majors,
0QPSDFM3,bio,biology,2,1341.5,college_majors,
0QPSDFM3,chem,chemistry,3,788.7,college_majors,
0QPSDFM3,biochem,biochemistry,4,1520,college_majors,
0QPSDFM3,english,english,5,1998.6,college_majors,
0QPSDFM3,math,math,6,1031,college_majors,
0QPSDFM3,physics,physics,7,2887.1,college_majors,
0QPSDFM3,astronomy,astronomy,8,1874.2,college_majors,
0QPSDFM3,architecture,architecture,9,2372.4,college_majors,
0QPSDFM3,art,art,10,1351.7,college_majors,
0QPSDFM3,visual studies,visual studies,11,3301.2,college_majors,
0QPSDFM3,french,french,12,1093.7,college_majors,
0QPSDFM3,spanish,spanish,13,1075.1,college_majors,
0QPSDFM3,italina,italian,14,1500.3,college_majors,
0QPSDFM3,german,german,15,1917.1,college_majors,
0QPSDFM3,arabic,arabic,16,1122.6,college_majors,
0QPSDFM3,comp sci,computer science,17,6173.5,college_majors,
0QPSDFM3,dcs,data science,18,1191.3,college_majors,
0QPSDFM3,data science,data science,19,2717.9,college_majors,
0QPSDFM3,agriculture,agriculture,20,1891.5,college_majors,
0QPSDFM3,accounting,accounting,21,1457.4,college_majors,
0QPSDFM3,econ,economics,22,790.1,college_majors,
0QPSDFM3,finance,finance,23,933.6,college_majors,
0QPSDFM3,business,business,24,1751.9,college_majors,
0QPSDFM3,criminal justice,criminal justice,25,3549.4,college_majors,
0QPSDFM3,geography,geography,26,5799.7,college_majors,
0QPSDFM3,taylor swift,taylor swift,1,2683.8,musicians,
0QPSDFM3,benson boone,benson boone,2,2852.1,musicians,
0QPSDFM3,harry styles,harry styles,3,3126,musicians,
0QPSDFM3,zayn malik,zayn malik,4,4638.7,musicians,
0QPSDFM3,hozier,hozier,5,2438.4,musicians,
0QPSDFM3,noah kahan,noah kahan,6,4361.9,musicians,
0QPSDFM3,lewis capaldi,lewis capaldi,7,14838,musicians,
0QPSDFM3,avici,avicii,8,2641.4,musicians,
0QPSDFM3,avril lavinge,avril lavigne,9,6348.2,musicians,
0QPSDFM3,kesha,kesha,10,6059.7,musicians,
0QPSDFM3,ariana grande,ariana grande,11,5504.4,musicians,
0QPSDFM3,michael phelps,michael phelps,1,3014.6,sportspersons,
0QPSDFM3,katie ledecky,katie ledecky,2,2431.1,sportspersons,
0QPSDFM3,gretchen walsh,gretchen walsh,3,3017.3,sportspersons,
0QPSDFM3,alex walsh,alex walsh,4,1549.7,sportspersons,
0QPSDFM3,kate douglas,kate douglas,5,1743.5,sportspersons,
0QPSDFM3,claire curzan,claire curzan,6,2929.1,sportspersons,
0QPSDFM3,yousef ramadan,yousef ramadan,7,2354.5,sportspersons,
0QPSDFM3,leon marchand,leon marchand,8,11141.8,sportspersons,
0QPSDFM3,simone biles,simone biles,9,2128.4,sportspersons,
0QPSDFM3,naomi osaka,naomi osaka,10,6700.9,sportspersons,
0QPSDFM3,serena williams,serena williams,11,8983.6,sportspersons,
0QPSDFM3,venus williams,venus williams,12,1975.3,sportspersons,
0QPSDFM3,andre agassi,andre agassi,13,2710.9,sportspersons,
18HXK612,frog,frog,1,2118.1,animals,
18HXK612,rabbit,rabbit,2,2916.8,animals,
18HXK612,cat,cat,3,2424.9,animals,
18HXK612,dog,dog,4,1288.8,animals,
18HXK612,tiger,tiger,5,1545.9,animals,
18HXK612,lizzard,lizard,6,2745.4,animals,
18HXK612,gecko,gecko,7,2970.1,animals,
18HXK612,mole,mole,8,1324.7,animals,
18HXK612,rat,rat,9,1155.2,animals,
18HXK612,mouse,mouse,10,1490.4,animals,
18HXK612,hawk,hawk,11,5498.2,animals,
18HXK612,eagle,eagle,12,4930.8,animals,
18HXK612,pidgeon,pigeon,13,2387,animals,
18HXK612,lion,lion,14,1488.6,animals,
18HXK612,jaguar,jaguar,15,2345.4,animals,
18HXK612,leopard,leopard,16,3078.8,animals,
18HXK612,hyena,hyena,17,1725.5,animals,
18HXK612,cheeta,cheetah,18,5858.2,animals,
18HXK612,lynx,lynx,19,4630.3,animals,
18HXK612,meercat,meerkat,20,3016.7,animals,
18HXK612,worm,worm,21,3670.3,animals,
18HXK612,erin hunter,erin hunter,1,2817.5,authors,
18HXK612,jk rowling,jk rowling,2,3511.6,authors,
18HXK612,brandon sanderson,brandon sanderson,3,4683.1,authors,
18HXK612,george rr martin,george r r martin,4,5957.1,authors,
18HXK612,rick riordan,rick riordan,5,7054.3,authors,
18HXK612,naomi novik,naomi novik,6,4522.2,authors,
18HXK612,emily bronte,emily bronte,7,16227.4,authors,
18HXK612,shakespeare,william shakespeare,8,4692.2,authors,
18HXK612,pscyhology,psychology,1,3078.1,college_majors,
18HXK612,sociology,sociology,2,3203.9,college_majors,
18HXK612,mathematics,mathematics,3,3146.3,college_majors,
18HXK612,enginearing,engineering,4,3452.7,college_majors,
18HXK612,pre med,premed,5,2017.9,college_majors,
18HXK612,biology,biology,6,2351.2,college_majors,
18HXK612,chemistry,chemistry,7,3016.9,college_majors,
18HXK612,physics,physics,8,2385.5,college_majors,
18HXK612,english,english,9,2825.7,college_majors,
18HXK612,history,history,10,2702.7,college_majors,
18HXK612,anthropology,anthropology,11,3197.2,college_majors,
18HXK612,gender and sexuality studies,gender and sexuality studies,12,5191.9,college_majors,
18HXK612,asian studies,asian studies,13,2753.1,college_majors,
18HXK612,accounting,accounting,14,5916.7,college_majors,
18HXK612,computer science,computer science,15,6521.5,college_majors,
18HXK612,dcs,data science,16,3884,college_majors,
18HXK612,taylor swift,taylor swift,1,4711.4,musicians,
18HXK612,beyonce,beyoncé,2,2178.2,musicians,
18HXK612,bruno mars,bruno mars,3,2354.1,musicians,
18HXK612,olivia rodrigo,olivia rodrigo,4,5354.6,musicians,
18HXK612,panic at the disco,panic! at the disco,5,4816.3,musicians,
18HXK612,nirvana,nirvana,6,3131.4,musicians,
18HXK612,lady gaga,lady gaga,7,3583.2,musicians,
18HXK612,chappell roan,chappell roan,8,9755.9,musicians,
18HXK612,greenday,green day,9,5159.5,musicians,
18HXK612,imagine dragons,imagine dragons,10,7166.7,musicians,
18HXK612,russel wilson,russell wilson,1,4315.5,sportspersons,
18HXK612,babe ruth,babe ruth,2,4304.7,sportspersons,
18HXK612,michael jordan,michael jordan,3,6618.9,sportspersons,
18HXK612,tom brady,tom brady,4,3998.7,sportspersons,
18HXK612,wayne gretsky,wayne gretzky,5,8696.8,sportspersons,
18HXK612,ronaldo,cristiano ronaldo,6,5072.1,sportspersons,
18HXK612,aaron rodgers,aaron rodgers,7,17557.3,sportspersons,
1KEVYYJ9,TIGER,tiger,1,3266.1,animals,
1KEVYYJ9,LION,lion,2,1281.3,animals,
1KEVYYJ9,LIGER,liger,3,1544.6,animals,
1KEVYYJ9,PANTHER,panther,4,1482.8,animals,
1KEVYYJ9,CAT,cat,5,1274.3,animals,
1KEVYYJ9,DOG,dog,6,1724.1,animals,
1KEVYYJ9,DOLPHIN,dolphin,7,1811.1,animals,
1KEVYYJ9,WHALE,whale,8,2036.2,animals,
1KEVYYJ9,ORCA,orca,9,1302.4,animals,
1KEVYYJ9,MOSQUITO,mosquito,10,5810.4,animals,
1KEVYYJ9,RAT,rat,11,2663.4,animals,
1KEVYYJ9,MOUSE,mouse,12,1795,animals,
1KEVYYJ9,BAT,bat,13,981.6,animals,
1KEVYYJ9,CHIMPANZEE,chimpanzee,14,5466.8,animals,
1KEVYYJ9,GORILLA,gorilla,15,2400.6,animals,
1KEVYYJ9,HUMAN,human,16,1585,animals,
1KEVYYJ9,STARFISH,starfish,17,14408.1,animals,
1KEVYYJ9,NEMATOAD,nematode,18,4215.7,animals,
1KEVYYJ9,MARY SHELLEY,mary shelley,1,9350.3,authors,
1KEVYYJ9,ANNE FRANK,anne frank,2,38424.6,authors,
1KEVYYJ9,econ,economics,1,3214.8,college_majors,
1KEVYYJ9,BIO,biology,2,2805.7,college_majors,
1KEVYYJ9,BIOCHEM,biochemistry,3,2186.6,college_majors,
1KEVYYJ9,CHEM,chemistry,4,2963.8,college_majors,
1KEVYYJ9,MATH,math,5,3116.9,college_majors,
1KEVYYJ9,ENGINEERING,engineering,6,2282.3,college_majors,
1KEVYYJ9,PHYSICS,physics,7,2012.2,college_majors,
1KEVYYJ9,EDUCATION,education,8,5315.9,college_majors,
1KEVYYJ9,ENGLISH,english,9,3456.1,college_majors,
1KEVYYJ9,ENV STUDIES,environmental studies,10,6902.8,college_majors,
1KEVYYJ9,HISTORY,history,11,8559.1,college_majors,
